yorum,product_name,Kategori
"Merhabalar, Ankara Bilkent Şehir Hastanesinde çalışmaktayım. Bu nedenle sürekli şebeke sorunu, arama sorunu ve internet sorunu yaşamaktayım ve bu durumu sürekli yaşamaktayım. Müşteri hizmetlerini aradığımda baz istasyonunda çalışma olduğu, 1 aylık ve 3 aylık sürelerle söylendi. Bu yüzden bu şebeke sorununu bir de tarafıma şebeke kesici şeyler olduğu, müdahale edemiyoruz diye söylendi. Lakin bulunduğum alanda diğer operatörlerin çektiği, ekip arkadaşlarımın operatörlerinin çalıştığı, tek sıkıntının Turkcell olduğu tarafımca tespit edildi ve zaten Turkcell müşteri hizmetleri 1-3 aylık çalışma devam ettiği söylendi. Buna istinaden operatör değişikliği yapmak isteğimde tarafıma cayma bedeli olarak para ödememi istemektedirler. Sorunun benden kaynaklı olmadığını söylememe rağmen 1000 küsur TL cezası olduğu söylendi. Ben bunu kabul etmiyorum ve cayma bedelini ödemek istemiyorum. Talebim, operatör değişikliğini cezasız gerçekleştirmek istiyorum. Ali B**** 23.07.2024 09:44",Turkcell Şebeke Sorunu Yaşamaktayım,Cayma
Ben mağdur oldum. Resmen Turkcelle çekeceğini düşündüğüm için anlaşmalı faturalı hatta geçtim ve sonrasında şebekem çekmedi. Çekmediği için ben neden 510 liralık faturayı ödeyeyim? Bu yüzden çıkmak istedim ama bana ceza yansıttı. Cayma bedeli ödemek istemiyorum çünkü benim cayma sebebim Turkcellin çekmemesi. Kendi sebeplerimden dolayı değil.,Turkcell Telim Çekmediği İçin Sıkıntı Yaşıyorum,Cayma
"Merhabalar, ben Burak D****. Ben ve eşim uzun süredir Turkcell müşterisiyiz. Yaklaşık 4-5 aydır bulunduğumuz bölgede şebeke yok, internet de çekmiyor. İnternetten kaç defa talep oluşturdum, ilgilenen olmadı. Müşteri hizmetlerini aradım, sorun yine çözüme ulaşmadı. Faturalı hattımı kapatmak istediğimde yüklü miktarda cayma bedeli yansıyacağı belirtildi. Bu sorun bir an önce çözüme ulaştırılmazsa tüketici haklarımı kullanarak hiçbir cayma bedeli ödemeden sözleşmemi feshedeceğimi bildiririm.",Turkcell Hizmet Hizmet Veremediği Halde Yüksek Miktarda Cayma Bedeli İ,Cayma
"Depremde vefat eden babamın hattını devir aldım ve devir alırken kendime ait zaten bir hattın olduğunu, bu hattın da faturasız olmasını istediğimi dile getirdim. Bu konuda hiç yardımcı olunmadı.\nfaturalı alabilirsiniz ancak dendi, mecburen faturalı olarak çıkardım hattı. Şimdi de faturası fazla geldiği için faturasız hatta geçirmek istiyorum. Erken cayma bedeli 1045,75 TL diyorlar. Yani zaten bu hattı alana kadar nelerle uğraştım, hala uğraşmaya devam ediyorum. Turkcell genelde her konuda zorlaştırıyor insanların işini.\nNe fiyat uygun, ne anlayış var, ne yardımcı oluyorlar. Böyle zor bir durum için bile ellerinden gelen bir şey yok. Ya boşu boşuna ayda 300 TL fatura ödeyeceğim ya da erken cayma bedeli vereceğim. Çözüm yok!",Turkcell Faturasız Hatta Geçiş Sorunu,Cayma
"Turkcelle yeni geçiş yaptım ve memnun değilim. Müşteri hizmetlerini aradığımda bana güncel net bir rakam söylemiyorlar. Cayma bedeli şu çıkar demek yerine, onu siz geçiş yaptığınız zaman öğrenebilirsiniz diyorlar. Ben net şu rakamı öğrenmek istiyorum diye belirtmeme rağmen, onu geçiş yapmadan bilemeyiz, sistem bize izin vermiyor, biz onu göremiyoruz diyor müşteri temsilcisi.",Turkcell Mağduriyet Müşteri Hizmetleri,Cayma
"Turkcell e 2 ay önce numara taşıyarak geçiş yaptım. Geçiş yaptığım dan bu yana evde telefon görüşmesi yapamıyorum. Ev 1 kat ve çevresinde açık,. Şehir merkezinde Turkcell de bu sorunu yaşamak çok saçma durum. Kahramanmaraş deprem bölgesi anlıyorum da 1.5 yıldır baz istasyonu sorunlarını çözmemek, insanları mağdur etmek Turkcell gibi firmaya yakışmayan durum. Üstelik taahhüt nedeniyle gerek eski operatör e geçiş yapamıyorum. Turkcell veremediği hizmet nedeniyle cayma bedeli almaması gerektiğini düşünüyorum.",Turkcell De Şebeke Sorunu Konuşma Yapamıyorum,Cayma
"Bu yıl şubat ayı içerisinde kızıma cep telefonu aldığımız için daha önce akıllı saatte kullandığımız akıllı çocuk hattına, Turkcell müşteri hizmetleri aracılığıyla tarife değişikliği yaptırdım. Taahhüdüm bitmesi üzerine fatura fazla geldi ve çocuk paketlerinden birine geçmek istedim fakat vergi hariç 400 lira civarında bir cayma bedeli çıkardılar. Taahhüdüm yok o zaman kapatayım hattı dediğimde de gene bu cayma bedelini ödemem gerektiğini söylediler. Taahhüdü biten bir hatta cayma bedeli istemeleri kadar mantıksız bir şey duymadım. Bir önceki müşteri temsilcisi böyle bir konu hakkında beni neden bilgilendirmedi şikayet etmek istiyorum dediğimde de şikayet kaydı bile açtırmadılar. Son iki müşteri temsilcisi ile konuşmamın incelenmesini istiyorum fakat şikayet kaydı bile açmıyorlar. Mesele tutarın ne kadar olduğu değil insani a... Tal yerine koyuyor olmaları. Edebildiğim her yere şikayet edeceğim.",Taahhüdü Biten Hatta Cayma Ücreti İsteyen Turkcell!,Cayma
Yeni aldığım ve hiç kullanmadığım hata bir ay bile olmadan iptal etmek istediğim hat üzerinden 1000 TL nin üzerinde cayma bedeli çıktı. Turkcelle geçmek istemenin vermiş olduğu pişmanlık. Tüketici Haklarına gideceğim ama surecin nasıl ilerleyeceğini bilmiyorum. Bu durumun çözülmesini istiyorum. Hattı alırken bana ücretsiz denmeseydi almazdım. Herhangi bir ücret alınmadığını söyleyerek verdiler. Bu haksiz kazançtır. Turkcell pişmanlıktır.,Turkcell'den Cayma Bedeli Şoku: Haksız Kazanç İddiası,Cayma
"Temmuz 2024 tarihi itibariyle Turkcell den Vodafone a numara taşıma yaptım. Turkcell taahhüdüm bittiği için yeni taahhütten 3 gün sonra Vodafone numara taşıma talebinde bulundum. Turkcell müşteri hizmetleriyle yaptığım görüşmede cayma bedeli olup olmayacağını sordum. Sadece kullanılan gün kadar ödeyeceğimi, asla geri kalan taahhüt günü ödemesi olmayacağını belirttiniz. Ses kayıtları yapıldı. 250 TL maksimum bedel geleceği söylendi bana. Fakat şimdi 1.400 TL fatura çıktı. Yanlış ve yalan beyandan haklarımı kullanacağım. Görüşme ses kayıtlarımızın dinlenip, Gereğinin yapılmasını istiyoruz.",Turkcell Tarafından Yanlış Beyandan Borç,Cayma
"Data hattı usulsüz ve tutarsız cayma bedeli. Kullandığım data hattının çekmemesi ve çekme durumunda bile sürekli olarak kesilip durmasından dolayı kapatmak istedim fakat bana 3000 TL civarında cayma bedeli ödemem gerektiği söylendi. Hak yiyorsunuz, adalet gerekeni yapacaktır.",Turkcell Usulsüz Ve Tutarsız Cayma Bedeli,Cayma
4 yıl boyunca Turkcell Platinyum hat kullanıcısıydım. Tarife değişikliği yaptım. Sadece 3 gün sonra taahhüt verdiğim tarifeden daha uygun başka bir operatördeki mevcut tarifeye geçiş yaptım. Sadece 3 gün için 2.500 TL civarında cayma bedeli istendi. Toplamda sadece 60 TL bir kullanım yaptığım halde benden alınan meblağ çok yüksek. Hiç kullanmadığım internetin bir yıllık bedelini ödemek zorunda bırakıldım. Bu konuyla ilgili yasal haklarımı arayacağım.,Turkcell Haksız Tutar Talep Etme,Cayma
Turkcell gereğinden fazla lüzumsuz ücretler ekleyerek her ay 1000 lirayı geçen fatura karşıma çıkarıyordu. Üstelik çekim kalitesi de bulunduğum yerde çok düşük olması nedeniyle bir türlü kullanamıyordum. Bazı problemlerden dolayı para sıkıntısı çektim. En sonunda faturam kapandı ve bende başka operatöre geçiş yaptım. Cayma bedeli olarak yüksek miktar talep etti. Ödeyemedim yasal takibe düştü. Verdikleri hukuk bürosundan 2 hafta beklemelerini istesem de kabul etmiyorlar. Bu Ülkede garibana yardımcı olmak ne kadar da zormuş. Turkcellin açtığı icrayı dondurmasını talep ediyorum.,Turkcell'in Pahalılığı Ve Faturaya Gereksiz Eklemeler Yapması,Cayma
"27.06.2024 tarihinde Turkcell bayisinden yeni hat aldım. Hattı telefona taktığımda çalışmadı, telefonda sorun var dendi. Telefonu tamire aldılar, aradan 1 hafta geçti. Telefonun arızalı olduğunu söylediler. Yeni telefon aldım, hattımız şu an hala açılmıyor. Müşteri hizmetleri hat aktif diyor ama sinyal yok. İptal edip başka hat istediğimde hem hattının sinyal vermediği 20 günün ücretini hem de cayma bedelini istiyorlar. Her gün müşteri hizmetlerini aramama rağmen çözüm bulunamıyor. Yeni aldığım açılmayan hattın sorumluluğu bende mi ve neden bana bedel ödetiliyor? Tüketici Haklarına başvurup boş yere aldırdığınız telefona kadar şikayetçi olacağım.",Turkcell Yeni Hat Açılmadığı Halde Cayma Bedeli İstiyor,Cayma
Hattım çekmiyor diye Turkcelli aradım. Şehir merkezinde bile çekmiyor diye çıkmak istediğimi belirttim. Onlar da bana 730 lira cayma bedeli çıkardı. Bundan bir ay önce tekrar böyle bir konu için sormuştum; o günkü müşteri temsilcisi 550 lira demişti. Müşteri temsilcileri kendi kafalarına göre cayma bedelini çıkarıyor. Turkcell kesinlikle kötü bir hal almaya başladı.,Turkcell Cayma Bedeli Ve Çekim Sorunları,Cayma
"Turkcell internet çekmiyor (internet hızım 860 Kbps) ""Turkcell hattımı kullanamadığım halde, hizmet alamadığım bir operatöre cayma bedeli ödemek zorunda bırakılmam doğru gelmiyor. Müşteri hizmetlerini 28 Haziran\da aradım ve sorunumla ilgili bir kayıt oluşturuldu ancak hala bir dönüş alamadım. Bugün tekrar aradım (14 Temmuz) ve 288 saat içinde döneceklerini söylediler ama eski kayıt hakkında hiçbir gelişme olmadı. Bu durumda, hizmetlerinizden memnun olmadığım için sözleşmemi iptal etmek istiyorum. 950 TL gibi yüksek bir cayma bedeli talep etmeniz kabul edilemez. Ya sorunumu çözün ya da yasal yollarla hakkımı aramak zorunda kalacağımı bilmenizi isterim. Ayrıca, bulunduğum yerde başka operatörlerle hiç böyle bir sorun yaşamadım.""",Turkcell'den Aldığım Hizmetin Yetersizliği Ve Haksız Cayma Bedeli,Cayma
Dakikam bittiği için ek paket almak istedim. Ek paket bölümüne girip aldım meğerse ek paket değişmiş tarifeymiş bilmeden tarifem değişmiş. Düzeltilmesi için müşteri temsilcisiyle görüştüm bir üst paket alabilirmişim kendi paketime dönemezmişim söylediği paketlerde uçuk fiyatlar bu yaptıkları bir oyun nasıl vatandaştan para koparırım hesabı yapıyorlar. Ek paket bölümünde tarife ne arıyor. İptalini istiyorum cayma bedeli çıkarıyorlar. Mağduriyetimin giderilmesini istiyorum.,Turkcell Uygulamasının Yanlış İşlem Yapması,Cayma
"Turkcell hattını yıllardır kullanmakta olup iki gün önce bir sorunla karşılaştım. Bu hat faturalı hat iken faturasız hatta geçiş yapıp bana 113 TL borç geleceğini söyleyip kabul ettim. 11 Temmuzda gelen mesaj, benim 600 TL borcum olduğunu söyledi. Ben bu kadar harcama yapmadım. İtirazda bulunup size devrediyorum. Lütfen düzeltin, mağdur olmayalım.",Turkcell Fatura İtirazı Reddedilmesi,Cayma
"Merhabalar, ben 1 ay önce annem hastalandığı ve köyde İnternet olmadığı için kullandığım Turkcell paketimi bitirdim. Ben KPSS ye hazırlanıyorum derslere girebilmek için Turkcell mobil uygulama üzerinden ek olarak 350 TLye 5 GB İnternet aldım. Benim bilgim dahilinde olmadan 180 TL olan paketi 474 lira olarak güncellemişler. 180 olarak ödediğim faturam 474 TL geldi. Turkcell Müşteri hizmetlerini aradım esneyen 5 GB almışım 25 GB olarak esnemiş paketin iptalini talep ettim bana 3 gündür bu paketi kullandığımı belirtip kontratsız paketten cayma bedeli olarak 874 ücret ödemem gerektiğini söylediler. Ben öğrenciyim ve bu ücreti ödeyemiyorum. Gereğinin yapılmasını istiyorum.",Turkcell De Kullandığım 180 TL Paket 474 TL Oluyor,Cayma
Turkcell den Superbox aldım. İnternet sitesinde gerekçe göstermeden cayma bedeli ödemeden 14 gün içinde iade hakkımız olduğu yazıyor. Bu işlem 6502 sayılı Tüketicilerin Korunması hakkında Kanun kapsamında bize verilen bir haktır. Ama iade etmek istediğimde bana 4800 TLlik bir cayma hakkı çıkartıyorlar. Ürünü 7 Temmuz pazar 2024 te aldım cayma bedeli olmaksızın iade etmek istiyorum,Turkcell Superbox 14 Gün İade Süresi,Cayma
"5327***870 numaralı hattı kullanırken Dudullu Turkcell bayisinden yeni bir hat talebinde bulundum. Görevli personel (İ*** Hanım) tarafından cayma bedeli, konuşma ücreti vs. dahil tüm masraflarını ödeyerek 5321***870 numaralı yeni bir hat aldım. Halen her iki numaraya ait banka kayıtlarında borcumun olmadığı görülmektedir. 11 Temmuz 2024 tarihinde aranarak 5377****62 numaralı hatta ait 501 TL borcum olduğu bildirildi. Bu numarayla uzaktan yakından ilgim yoktur. Onayım yoktur. İmzam yoktur. 2010dan beri numarayı kullandığım beyan ediliyor. Her türlü kayıtlı belgem ve imzam karşılığı borcumu ödemeye hazırım. Hatanın bayi personelinden kaynaklandığı kanaatindeyim. Gereğini arz ederim. E**** U********* 11.07.2024",Turkcell Mobil Telefon Hat,Cayma
"İyi günler, ben Turkcelle 30 gündür şebekem ile ilgili şikayette bulundum yazılı olarak fakat 1 aydır bana geri dönüş yapılmadı. Boşu boşuna para ödüyorum yüksek faturayı. Şebekem çekmediği için cayma bedelsiz operatör değişikliği yapmak istiyorum. Bu konuda yazılı şikayette bulundum ama dönüş yok.",Turkcell Şebeke Sorunu Ve Bedelsiz Cayma Hakkı,Cayma
"Hattımı Turkcelle taşıdım, 1 gün oldu. Ne arama kalitesi ne de internet kalitesinden memnun değilim. İnternet ve aramada kesilmeler çok sık yaşanıyor. Konuşamıyor, interneti kullanamıyorum. Bu konuda hızlı bir şekilde yardım bekliyorum. Çözülmemesi halinde hattımı başka operatöre taşırken cayma bedeli gibi ücretlendirme yansımasını istemiyorum. Mağduriyetimin çözülmesini istiyorum (müşteri hizmetlerine bağlanamıyorum).",Turkcell Sorun Var Çözün Lütfen,Cayma
Turkcell kurumsal hatlarımızın taahhüt süresi bitmeden son ay (şubat) i çerisinde herhangi bir yazılı bir sözleşme imzalamadığımız halde yenilenmiş ve tarafımıza yüksek fatura ve cayma bedeli yansıtıldı. Bununla ilgili defalarca arayıp kayıt oluşturmamıza rağmen hiçbir geri dönüş veya bir bilgi alamadık. Sözleşme olmadan yenileme yapılamayacağı bilgisini yine Turkcell müşteri hizmetlerinden aldık ama yine de taahhüt yapılmış ve mağdur edildik. Ocak ayındaki faturamız normal tutarda gelmiş ama şubat ve mart ayında gelen faturalar olması gerekenden fazla gelmiştir. Ekte görselleri mevcuttur.,"Turkcell, Islak İmzamız Olmadan Sözleşme Yenilemiş",Cayma
"Turkcell, müşterilerine sadece para odaklı bakıyor. İyisi olsun dedik Turkcelli seçtik ama sonuç hüsran. Senede 3-4 defa zam yapılır mı? Enflasyonun bu hale gelmesine sebep olan siz ve sizin gibi fırsatçılardır. Gelelim asıl konuya: Mevcut paketim 1 yıl taahhütlü vergisiz 230 TLye 7 GBlıktı. Bu paketimde GB yetmediği için değişiklik yapmaya karar verdim. Mobil uygulamada en mantıklı gelen paketi seçtim. Esneyen 5 GB paketi. 260 TLlik pakette her 50 TL karşılığında ek 5 GB data verecekti. Daha pahalı bir paket ama en azından kotayı geçince uçuk ek ücretler ödemektense bu daha mantıklı geldi. Bu paketin yine 1 yıl taahhütlü bir paket olduğunu düşünerek buna geçtim. Bir üst pakete hiçbir cayma bedeli ödemeden geçilir diye biliyordum. Geçtikten 1 hafta sonra zam geleceğine dair bir SMS aldım. Nasıl yani, taahhütlü pakette zam mı olur diye düşününce paketin taahhütsüz olduğunu öğrendim. Fakat bu bilgi paketi alırken gözüme çarpmadı. Madem paket taahhütsüz, bunun sayfada net olarak belirtilmesi gerekir. Bu paketin fiyatı değişkendir ve her zamdan etkilenir vb. yazılması gerekir. Ben pakete geçtiğim gibi 1 haftada zam yedi. E ne oldu? 230 + vergi ödediğim paket oldu 310 + vergi. GBı da eskisine göre düşük. Ve bu ne ilk ne de son zam. Eski taahhütlü paketten buna geçtiğim için de eski taahhüdün süresinin dolmasını bekliyor. Ve 7 ay daha var. Bu politika ile bu firma 3 ayda bir 50 TL koysa süresi dolana kadar paket olacak 500 TL. Eski paketime geçmeme de izin verilmiyor. E paket taahhütsüz ama çıkınca cayma bedeli isteniyor. Beni sürekli zam yiyen ama çıkmama izin verilmeyen bir saçmalığın içine soktunuz. 30. yılınızda müşterilerinize yaklaşımınız bu mudur? Mantık hatalarını tekrar sıralamak istiyorum. Herkes görsün bilsin. Bilmeden taahhütlü paketten taahhütsüz pakete geçerseniz eski taahhüdünüzle korkutarak sizi o süre dolana kadar taahhüdü olmayan bir pakette tutuyorlar. Çıkarsanız indirimleri hemen geri istiyorlar. Yeni paket taahhütsüz ama siz aylarca fiyatı enflasyondan (keyfi olarak) etkilenen bir pakettesiniz. 3 ayda bir zamlanıyor ve taahhütlü bir sabit fiyatlı paket gibi kullanamıyorsunuz. Çıkamadığınız için de Turkcell isterse 5000 TL bile yapsa fiyatı o paketi kullanmaya devam etmek zorundasınız. Yakışmadı Turkcell! Bana bir çözüm yolu sunun. Ya eski paketime kaldığım yerden devam edeyim ya da cayma bedelini silin. Ayrıca 6 günlük kullanıma 180 TL alınmaz. Günlük ücreti 6 ile çarpıp o bedeli almanız gerekir. Bunu da kabul edemem.",Turkcell'in 30. Yılında Müşterilerine Yaklaşım Tarzı,Cayma
"Turkcellde maxi20 tarifesi kullanıyordum. Taahhüdümün bittiğini, yenilemem gerektiğini söylediler. Taahhüdümü yeniledikten 1 gün sonra Vodafone da iyi bir paket buldum. Turkcelli iptal işlemleri için aradığımda geçiş ve iptalle ilgili herhangi bir ücret, cayma bedeli olmayacağını söylediler. Ekstra ücret çıkmayacağına dair 2 kez müşteri temsilcisinden teyit ettirdim. Daha sonra 11.06.24 tarihinde Vodafone geçiş yaptım. 27.06.24 tarihinde bana Turkcell mesaj ile cayma bedeli olarak 2200 TL gibi bir rakam ile fatura maili gönderdi. Müşteri temsilcisini aradığımda sadece kayıtları inceleyelim şeklinde bilgi verdiler. Turkcell gibi kaliteli olduğunu düşünülen bir firmanın bu şekilde cebimizde ki paraya göz dikmesi ne kadar kaliteli görünüyor bilemedim. Yanlış bilgiler veren personelin bedelini biz müşteriler ödemek zorunda değiliz. Sorup teyit alarak geçiş yapmıştım ben. 2200 TL yi bana yansıtamaz Turkcell. Eğer bu bedel silinmezse hakkımı tüm mecralarda aramaktan çekinmeyeceğim.",Turkcell Cayma Bedeli 0 Teyidi Verip 2200 TL Fatura Gönderiyor,Cayma
"Turkcell hat aldım, 2 saat içinde olan oldu. Ben hattı takıyorum, hattın sahibi WhatsApp kullanıyor. Aktif ve bayi bana sorun yok, devam et diyor. Kullanıyorum, o şahıs orada aktif. Ona ulaşamazsa numarayı arar diyorum, normal mi? diyorum, evet diyor. 2 saat kullandığım hattı kullanmadım ve bana ödeme bedeli çıkarılmış. Haciz ile alacakmış. Ben her yere şikayette bulunacağım.",Turkcell Şikayet Haksız Yere Ödeme İstediği,Cayma
"Operatörümü değiştirdim, cayma bedeli olduğunu bilmiyordum. Bu yüzden çok mağdurum. Cayma bedelinin adıma kaldırılması için ricada bulunuyorum. 5 senedir Turkcell müşterisiyim, böyle bir şey nasıl olur? Kimse bana cayma bedeli hakkında bilgi vermedi, beni de aramadılar. Turkcell müşteri hizmetleri.",Turkcell Cayma Bedeli Adıma Çıkması,Cayma
"1. Ayda aboneliğini yaptığım Superbox 150gb paketine aylık 600lira ücret ödüyorum. İnternette Instagram bile coğu, zaman, yüklenmiyor modem iki uc dis, en, fazla 4 dis çekiyor talep oluşturdum. Arandım 2600lira cayma bedeli istendi. Tüketici kanunlarına göre yasaya, aykırı şekilde cayma bedeli isteniyor istediğim hiz ve servisi alamıyorum iptal edip en, son mahkeme yoluyla, hakkımı arayacağım acil sorunumun çözülmesini istiyorum","Superbox Turkcell Cayma, Bedeli",Cayma
